Time,Region,Entity,N95s/KN95s,Masks,Gowns,Gloves,Ventilators
5/1/2020,Massachusetts,EMS (Private),30240,24300,1668,34000,0
5/1/2020,Massachusetts,Local BOH,10485,19500,786,38000,0
5/1/2020,Massachusetts,State agency,46636,172384,32175,1476880,0
5/1/2020,Massachusetts,Other (e.g. home and pediatric care),113495,577417,51330,975754,0
5/1/2020,Massachusetts,Total,1113060,1984242,296765,4333484,675
5/1/2020,Southeastern Massachusetts,Nursing home/Senior living,74180,134900,17812,173600,0
5/1/2020,Southeastern Massachusetts,Hospital,51200,42400,7770,47000,79
5/1/2020,Southeastern Massachusetts,Community health center,9030,15200,285,8400,0
5/1/2020,Southeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",47263,63005,30202,193720,0
5/1/2020,Southeastern Massachusetts,Public safety (30-day supply),37800,0,0,0,0
5/1/2020,Southeastern Massachusetts,EMS (Private),3360,2600,186,8000,0
5/1/2020,Southeastern Massachusetts,Local BOH,320,2000,96,6000,0
5/1/2020,Southeastern Massachusetts,State agency,1720,1400,280,3800,0
5/1/2020,Southeastern Massachusetts,Other (e.g. home and pediatric care),30397,175430,15111,319200,0
5/1/2020,Southeastern Massachusetts,Total,255270,436935,71742,759720,79
5/1/2020,Metro West,Nursing home/Senior living,67410,133500,11680,86200,0
5/1/2020,Metro West,Hospital,43720,27400,4374,2000,136
5/1/2020,Metro West,Community health center,12140,14350,2154,6000,0
5/1/2020,Metro West,"Local Municipalities (e.g. Fire, Police, Public EMS)",39186,66402,22128,126180,0
5/1/2020,Metro West,Public safety (30-day supply),42785,0,0,0,0
5/1/2020,Metro West,EMS (Private),7520,8600,240,0,0
5/1/2020,Metro West,Local BOH,1320,9500,0,6000,0
5/1/2020,Metro West,State agency,1420,1800,1390,7500,0
5/1/2020,Metro West,Other (e.g. home and pediatric care),27431,132310,10204,162400,0
5/1/2020,Metro West,Total,242932,393862,52170,396280,136
5/1/2020,Western Massachusetts,Nursing home/Senior living,47100,116350,9472,75200,0
5/1/2020,Western Massachusetts,Hospital,32160,51500,4004,0,60
5/1/2020,Western Massachusetts,Community health center,5360,10100,990,11000,0
5/1/2020,Western Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",36768,70642,26282,130680,0
5/1/2020,Western Massachusetts,Public safety (30-day supply),33015,0,0,0,0
5/1/2020,Western Massachusetts,EMS (Private),9040,6900,942,16000,0
5/1/2020,Western Massachusetts,Local BOH,2185,2000,300,5000,0
5/1/2020,Western Massachusetts,State agency,0,0,50,200,0
5/1/2020,Western Massachusetts,Other (e.g. home and pediatric care),16487,74350,9408,101350,0
5/1/2020,Western Massachusetts,Total,182115,331842,51448,339430,60
5/1/2020,Central Massachusetts,Nursing home/Senior living,36340,101000,5229,82400,0
5/1/2020,Central Massachusetts,Hospital,23120,11600,1266,2200,79
5/1/2020,Central Massachusetts,Community health center,8420,20100,1158,12000,0
5/1/2020,Central Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",50775,43884,26539,203950,0
5/1/2020,Central Massachusetts,Public safety (30-day supply),14450,0,0,0,0
5/1/2020,Central Massachusetts,EMS (Private),3800,1300,180,5000,0
5/1/2020,Central Massachusetts,Local BOH,1340,3000,90,8000,0
5/1/2020,Central Massachusetts,State agency,0,2300,0,400,0
5/1/2020,Central Massachusetts,Other (e.g. home and pediatric care),19555,93583,9376,158100,0
5/1/2020,Central Massachusetts,Total,157800,276767,43838,472050,79
5/1/2020,Metro Boston,Nursing home/Senior living,17370,48950,2766,29900,0
5/1/2020,Metro Boston,Hospital,31950,22300,2580,60500,204
5/1/2020,Metro Boston,Community health center,9640,14700,3030,17000,0
5/1/2020,Metro Boston,"Local Municipalities (e.g. Fire, Police, Public EMS)",23706,17200,11150,259120,0
5/1/2020,Metro Boston,Public safety (30-day supply),6455,0,0,0,0
5/1/2020,Metro Boston,EMS (Private),5000,0,0,0,0
5/1/2020,Metro Boston,Local BOH,3720,1000,300,6000,0
5/1/2020,Metro Boston,State agency,1200,1000,108,16800,0
5/1/2020,Metro Boston,Other (e.g. home and pediatric care),8730,33150,3302,135772,0
5/1/2020,Metro Boston,Total,107771,138300,23236,525092,204
5/1/2020,Northeastern Massachusetts,Nursing home/Senior living,34605,93900,6766,73800,0
5/1/2020,Northeastern Massachusetts,Hospital,24570,30800,1842,8000,117
5/1/2020,Northeastern Massachusetts,Community health center,1680,3300,396,5000,0
5/1/2020,Northeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",17186,37158,10931,195000,0
5/1/2020,Northeastern Massachusetts,Public safety (30-day supply),32820,0,0,0,0
5/1/2020,Northeastern Massachusetts,EMS (Private),1520,4900,120,5000,0
5/1/2020,Northeastern Massachusetts,Local BOH,1600,2000,0,7000,0
5/1/2020,Northeastern Massachusetts,State agency,0,0,0,0,0
5/1/2020,Northeastern Massachusetts,Other (e.g. home and pediatric care),10895,68390,3929,95732,0
5/1/2020,Northeastern Massachusetts,Total,124876,240448,23984,389532,117
5/1/2020,State agency,Nursing home/Senior living,0,0,0,0,0
5/1/2020,State agency,Hospital,0,0,0,0,0
5/1/2020,State agency,Community health center,0,0,0,0,0
5/1/2020,State agency,"Local Municipalities (e.g. Fire, Police, Public EMS)",0,0,0,0,0
5/1/2020,State agency,Public safety (30-day supply),0,0,0,0,0
5/1/2020,State agency,EMS (Private),0,0,0,0,0
5/1/2020,State agency,Local BOH,0,0,0,0,0
5/1/2020,State agency,State agency,42296,165884,30347,1448180,0
5/1/2020,State agency,Other (e.g. home and pediatric care),0,204,0,3200,0
5/1/2020,State agency,Total,42296,166088,30347,1451380,0
5/2/2020,Region,Entity,N95s/KN95s,Masks,Gowns,Gloves,Ventilators
5/2/2020,Massachusetts,Nursing home/Senior living,279385,632600,54475,526700,0
5/2/2020,Massachusetts,Hospital,213380,186000,21836,120900,675
5/2/2020,Massachusetts,Community health center,46590,77750,8013,59400,0
5/2/2020,Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",254724,305591,128772,1132450,0
5/2/2020,Massachusetts,Public safety (30-day supply),167325,0,0,0,0
5/2/2020,Massachusetts,EMS (Private),30240,24300,1668,34000,0
5/2/2020,Massachusetts,Local BOH,10725,19500,786,38000,0
5/2/2020,Massachusetts,State agency,52876,259338,32451,1661880,0
5/2/2020,Massachusetts,Other (e.g. home and pediatric care),117305,590713,52175,1016354,0
5/2/2020,Massachusetts,Total,1172550,2095792,300176,4589684,675
5/2/2020,Southeastern Massachusetts,Nursing home/Senior living,74180,136900,17812,174800,0
5/2/2020,Southeastern Massachusetts,Hospital,51200,42400,7770,47000,79
5/2/2020,Southeastern Massachusetts,Community health center,9030,15200,285,8400,0
5/2/2020,Southeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",51650,64605,30602,198120,0
5/2/2020,Southeastern Massachusetts,Public safety (30-day supply),37800,0,0,0,0
5/2/2020,Southeastern Massachusetts,EMS (Private),3360,2600,186,8000,0
5/2/2020,Southeastern Massachusetts,Local BOH,320,2000,96,6000,0
5/2/2020,Southeastern Massachusetts,State agency,1720,1400,280,3800,0
5/2/2020,Southeastern Massachusetts,Other (e.g. home and pediatric care),30527,178480,15531,332500,0
5/2/2020,Southeastern Massachusetts,Total,259787,443585,72562,778620,79
5/2/2020,Metro West,Nursing home/Senior living,68410,133500,11680,90600,0
5/2/2020,Metro West,Hospital,47720,27400,4374,2000,136
5/2/2020,Metro West,Community health center,12140,14350,2154,6000,0
5/2/2020,Metro West,"Local Municipalities (e.g. Fire, Police, Public EMS)",53124,69002,22128,133580,0
5/2/2020,Metro West,Public safety (30-day supply),42785,0,0,0,0
5/2/2020,Metro West,EMS (Private),7520,8600,240,0,0
5/2/2020,Metro West,Local BOH,1560,9500,0,6000,0
5/2/2020,Metro West,State agency,1420,1800,1390,7500,0
5/2/2020,Metro West,Other (e.g. home and pediatric care),28591,141510,10204,186400,0
5/2/2020,Metro West,Total,263270,405662,52170,432080,136
5/2/2020,Western Massachusetts,Nursing home/Senior living,47500,118350,10222,75200,0
5/2/2020,Western Massachusetts,Hospital,32160,51500,4004,0,60
5/2/2020,Western Massachusetts,Community health center,5360,10100,990,11000,0
5/2/2020,Western Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",42768,71042,26482,131680,0
5/2/2020,Western Massachusetts,Public safety (30-day supply),33015,0,0,0,0
5/2/2020,Western Massachusetts,EMS (Private),9040,6900,942,16000,0
5/2/2020,Western Massachusetts,Local BOH,2185,2000,300,5000,0
5/2/2020,Western Massachusetts,State agency,0,0,50,200,0
5/2/2020,Western Massachusetts,Other (e.g. home and pediatric care),17347,75400,9533,105350,0
5/2/2020,Western Massachusetts,Total,189375,335292,52523,344430,60
5/2/2020,Central Massachusetts,Nursing home/Senior living,36660,101000,5229,82400,0
5/2/2020,Central Massachusetts,Hospital,23120,11600,1266,2200,79
5/2/2020,Central Massachusetts,Community health center,8420,20100,1158,12000,0
5/2/2020,Central Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",54615,44584,27059,210350,0
5/2/2020,Central Massachusetts,Public safety (30-day supply),14450,0,0,0,0
5/2/2020,Central Massachusetts,EMS (Private),3800,1300,180,5000,0
5/2/2020,Central Massachusetts,Local BOH,1340,3000,90,8000,0
5/2/2020,Central Massachusetts,State agency,0,2300,0,400,0
5/2/2020,Central Massachusetts,Other (e.g. home and pediatric care),19555,93633,9676,160100,0
5/2/2020,Central Massachusetts,Total,161960,277517,44658,480450,79
5/2/2020,Metro Boston,Nursing home/Senior living,17370,48950,2766,29900,0
5/2/2020,Metro Boston,Hospital,31950,22300,2580,60500,204
5/2/2020,Metro Boston,Community health center,9960,14700,3030,17000,0
5/2/2020,Metro Boston,"Local Municipalities (e.g. Fire, Police, Public EMS)",29597,17200,11150,259120,0
5/2/2020,Metro Boston,Public safety (30-day supply),6455,0,0,0,0
5/2/2020,Metro Boston,EMS (Private),5000,0,0,0,0
5/2/2020,Metro Boston,Local BOH,3720,1000,300,6000,0
5/2/2020,Metro Boston,State agency,1200,1000,108,16800,0
5/2/2020,Metro Boston,Other (e.g. home and pediatric care),9230,33150,3302,135772,0
5/2/2020,Metro Boston,Total,114482,138300,23236,525092,204
5/2/2020,Northeastern Massachusetts,Nursing home/Senior living,35265,93900,6766,73800,0
5/2/2020,Northeastern Massachusetts,Hospital,27230,30800,1842,9200,117
5/2/2020,Northeastern Massachusetts,Community health center,1680,3300,396,5000,0
5/2/2020,Northeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",22970,39158,11351,199600,0
5/2/2020,Northeastern Massachusetts,Public safety (30-day supply),32820,0,0,0,0
5/2/2020,Northeastern Massachusetts,EMS (Private),1520,4900,120,5000,0
5/2/2020,Northeastern Massachusetts,Local BOH,1600,2000,0,7000,0
5/2/2020,Northeastern Massachusetts,State agency,0,0,0,0,0
5/2/2020,Northeastern Massachusetts,Other (e.g. home and pediatric care),12055,68540,3929,96232,0
5/2/2020,Northeastern Massachusetts,Total,135140,242598,24404,395832,117
5/2/2020,State agency,Nursing home/Senior living,0,0,0,0,0
5/2/2020,State agency,Hospital,0,0,0,0,0
5/2/2020,State agency,Community health center,0,0,0,0,0
5/2/2020,State agency,"Local Municipalities (e.g. Fire, Police, Public EMS)",0,0,0,0,0
5/2/2020,State agency,Public safety (30-day supply),0,0,0,0,0
5/2/2020,State agency,EMS (Private),0,0,0,0,0
5/2/2020,State agency,Local BOH,0,0,0,0,0
5/2/2020,State agency,State agency,48536,252838,30623,1633180,0
5/2/2020,State agency,Other (e.g. home and pediatric care),0,0,0,0,0
5/2/2020,State agency,Total,48536,252838,30623,1633180,0
5/3/2020,Region,Entity,N95s/KN95s,Masks,Gowns,Gloves,Ventilators
5/3/2020,Massachusetts,Nursing home/Senior living,287205,652600,54475,547500,0
5/3/2020,Massachusetts,Hospital,213540,188000,28336,120900,675
5/3/2020,Massachusetts,Community health center,46590,77750,8013,59400,0
5/3/2020,Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",255984,306491,129372,1133950,0
5/3/2020,Massachusetts,Public safety (30-day supply),167325,0,0,0,0
5/3/2020,Massachusetts,EMS (Private),30240,26300,1668,34000,0
5/3/2020,Massachusetts,Local BOH,10725,19500,786,38000,0
5/3/2020,Massachusetts,State agency,59976,261150,50061,1688280,0
5/3/2020,Massachusetts,Other (e.g. home and pediatric care),119675,600913,54274,1035754,0
5/3/2020,Massachusetts,Total,1191260,2132704,326985,4657784,675
5/3/2020,Southeastern Massachusetts,Nursing home/Senior living,74340,142900,17812,178200,0
5/3/2020,Southeastern Massachusetts,Hospital,51200,42400,10070,47000,79
5/3/2020,Southeastern Massachusetts,Community health center,9030,15200,285,8400,0
5/3/2020,Southeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",51650,64605,30602,198120,0
5/3/2020,Southeastern Massachusetts,Public safety (30-day supply),37800,0,0,0,0
5/3/2020,Southeastern Massachusetts,EMS (Private),3360,2600,186,8000,0
5/3/2020,Southeastern Massachusetts,Local BOH,320,2000,96,6000,0
5/3/2020,Southeastern Massachusetts,State agency,1720,1400,280,3800,0
5/3/2020,Southeastern Massachusetts,Other (e.g. home and pediatric care),31077,182480,17581,347500,0
5/3/2020,Southeastern Massachusetts,Total,260497,453585,76912,797020,79
5/3/2020,Metro West,Nursing home/Senior living,74910,143500,11680,105800,0
5/3/2020,Metro West,Hospital,47720,27400,4374,2000,136
5/3/2020,Metro West,Community health center,12140,14350,2154,6000,0
5/3/2020,Metro West,"Local Municipalities (e.g. Fire, Police, Public EMS)",53124,69002,22128,133580,0
5/3/2020,Metro West,Public safety (30-day supply),42785,0,0,0,0
5/3/2020,Metro West,EMS (Private),7520,8600,240,0,0
5/3/2020,Metro West,Local BOH,1560,9500,0,6000,0
5/3/2020,Metro West,State agency,1420,1800,1390,7500,0
5/3/2020,Metro West,Other (e.g. home and pediatric care),30091,147610,10229,190800,0
5/3/2020,Metro West,Total,271270,421762,52195,451680,136
5/3/2020,Western Massachusetts,Nursing home/Senior living,47500,118350,10222,75200,0
5/3/2020,Western Massachusetts,Hospital,32160,51500,4004,0,60
5/3/2020,Western Massachusetts,Community health center,5360,10100,990,11000,0
5/3/2020,Western Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",42768,71042,26482,131680,0
5/3/2020,Western Massachusetts,Public safety (30-day supply),33015,0,0,0,0
5/3/2020,Western Massachusetts,EMS (Private),9040,6900,942,16000,0
5/3/2020,Western Massachusetts,Local BOH,2185,2000,300,5000,0
5/3/2020,Western Massachusetts,State agency,0,0,50,200,0
5/3/2020,Western Massachusetts,Other (e.g. home and pediatric care),17347,75400,9533,105350,0
5/3/2020,Western Massachusetts,Total,189375,335292,52523,344430,60
5/3/2020,Central Massachusetts,Nursing home/Senior living,36660,101000,5229,82400,0
5/3/2020,Central Massachusetts,Hospital,23120,11600,1266,2200,79
5/3/2020,Central Massachusetts,Community health center,8420,20100,1158,12000,0
5/3/2020,Central Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",54615,44584,27059,210350,0
5/3/2020,Central Massachusetts,Public safety (30-day supply),14450,0,0,0,0
